date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:50	97163/97163	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a624-17b8b%22	https://preview.uideck.com/items/core/assets/js/vendor/jquery-1.12.4.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/vendor/jquery-1.12.4.min.js	(from https://preview.uideck.com/items/core/)
21:16:50	18196/18196	URF---	200	added ('OK%20(cached)')	image/jpeg		https://preview.uideck.com/items/core/assets/images/blog-3.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/blog-3.jpg	(from https://preview.uideck.com/items/core/)
21:16:50	1239/1239	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%226047499b-4d7%22	https://preview.uideck.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/home/parth/websites/parth1/preview.uideck.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.uideck.com/items/core/)
21:16:51	8599/8599	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a624-2197%22	https://preview.uideck.com/items/core/assets/js/vendor/modernizr-3.7.1.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/vendor/modernizr-3.7.1.min.js	(from https://preview.uideck.com/items/core/)
21:16:51	21004/21004	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60e-520c%22	https://preview.uideck.com/items/core/assets/js/popper.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/popper.min.js	(from https://preview.uideck.com/items/core/)
21:16:52	147216/147216	---M--	200	added ('OK')	application/octet-stream	etag:%225dc9a623-23f10%22	https://preview.uideck.com/items/core/assets/fonts/LineIcons.ttf?y2l643	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/fonts/LineIcons5594.ttf	(from https://preview.uideck.com/items/core/assets/css/LineIcons.css)
21:16:53	58072/58072	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60d-e2d8%22	https://preview.uideck.com/items/core/assets/js/bootstrap.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/bootstrap.min.js	(from https://preview.uideck.com/items/core/)
21:16:54	42863/42863	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60e-a76f%22	https://preview.uideck.com/items/core/assets/js/slick.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/slick.min.js	(from https://preview.uideck.com/items/core/)
21:16:54	5564/5564	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60b-15bc%22	https://preview.uideck.com/items/core/assets/js/jquery.easing.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/jquery.easing.min.js	(from https://preview.uideck.com/items/core/)
21:16:54	147292/147292	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225dc9a61d-23f5c%22	https://preview.uideck.com/items/core/assets/fonts/LineIcons.woff?y2l643	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/fonts/LineIcons5594.woff	(from https://preview.uideck.com/items/core/assets/css/LineIcons.css)
21:16:54	655/655	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60f-28f%22	https://preview.uideck.com/items/core/assets/js/scrolling-nav.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/scrolling-nav.js	(from https://preview.uideck.com/items/core/)
21:16:56	8415/8415	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60b-20df%22	https://preview.uideck.com/items/core/assets/js/wow.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/wow.min.js	(from https://preview.uideck.com/items/core/)
21:16:56	1249/1249	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a609-4e1%22	https://preview.uideck.com/items/core/assets/js/ajax-contact.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/ajax-contact.js	(from https://preview.uideck.com/items/core/)
21:16:56	2865/2865	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a60d-b31%22	https://preview.uideck.com/items/core/assets/js/main.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/main.js	(from https://preview.uideck.com/items/core/)
21:16:57	147216/147216	URF---	200	added ('OK%20(cached)')	application/ttf		https://preview.uideck.com/items/core/assets/fonts/LineIcons.ttf?y2l643	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/fonts/LineIcons5594.ttf	(from https://preview.uideck.com/items/core/assets/css/LineIcons.css)
21:16:59	12310/12310	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%226047499b-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	/home/parth/websites/parth1/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://preview.uideck.com/items/core/)
21:16:59	573011/573011	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a61e-8be53%22	https://preview.uideck.com/items/core/assets/fonts/LineIcons.svg?y2l643	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/fonts/LineIcons5594.svg	(from https://preview.uideck.com/items/core/assets/css/LineIcons.css)
21:17:00	147292/147292	URF---	200	added ('OK%20(cached)')	application/woff		https://preview.uideck.com/items/core/assets/fonts/LineIcons.woff?y2l643	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/fonts/LineIcons5594.woff	(from https://preview.uideck.com/items/core/assets/css/LineIcons.css)
21:17:00	147388/147388	UR-MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dc9a621-23fbc%22	https://preview.uideck.com/items/core/assets/fonts/LineIcons.eot?y2l643	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/fonts/LineIcons5594.eot	(from https://preview.uideck.com/items/core/assets/css/LineIcons.css)
21:17:02	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dc9a623-2876e%22	https://preview.uideck.com/items/core/assets/fonts/fontawesome-webfont.eot?v=4.7.0	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/fonts/fontawesome-webfont3e6e.eot	(from https://preview.uideck.com/items/core/assets/css/font-awesome.min.css)
21:17:03	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dc9a623-2876e%22	https://preview.uideck.com/items/core/assets/fonts/fontawesome-webfont.eot?	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/fonts/fontawesome-webfontd41d.eot	(from https://preview.uideck.com/items/core/assets/css/font-awesome.min.css)
21:17:04	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%225dc9a620-12d68%22	https://preview.uideck.com/items/core/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://preview.uideck.com/items/core/assets/css/font-awesome.min.css)
